Blog	nature	cream	details	lovely	yours	flight	machine	unfortunately	buying	garden	hall	previous	six	continue	exciting	drink	human	hospital	smell	h	woke	built	bear	covered	wild	november	letter	w	count	herself	greatest	nd	fear	worst	natural	letting	ate	gotten	de	calls	west	speed	obviously	showing	meaning	co	throughout	regular	artist	creative	interest	mentioned	presents	thanksgiving	north	goodbye	vacation	figured	okay	island	changing	difficult	south	cross	afraid	plane	kill	begin	moon	title	staying	created	hat	chair	seconds	cards	legs	sea	teach	drove	ya	general	crying	currently	reality	honest	fat	appreciate	station	pack	among	posts	mood	began	opening	thinks	film	chris	quality	silly	french	push	particular	ourselves	changes	hasn	jump	bet	language	nervous	program	series	january	credit	sugar	members	scene	cost	beyond	smart	radio	dr	paid	paint	tea	war	soft	immediately	dry	managed	bowl	involved	lay	eventually	background	pants	dirty	dogs	king	santa	celebration	dropped	asleep	slowly	mad	lesson	actual	healthy	fingers	result	offer	consider	river	followed	wet	easily	action	bird	david	article	halloween	contact	board	events	included	wine	magic	system	excuse	match	scared	whenever	inspired	key	dressed	cheap	adventure	include	sight	taught	skin	gotta	search	bus	comfortable	album	strange	hearing	hole	literally	mail	bottle	collection	lines	player	uncle	shower	ring	lie	performance	joined	image	packed	effort	becoming	lazy	difference	anywhere	anniversary	james	mountain	hearts	closed	february	position	seat	trust	row	apartment	focus	hill	birth	ah	rose	jesus	walls	per	serve	planning	shall	race	ends	blame	rules	besides	mini	lord	sale	seven	scary	edge	doctor	festival	discovered	friendly	michael	restaurant	despite	challenge	blast	concert	sharing	carry	videos	latest	california	pre	san	lessons	screen	grab	mixed	helps	character	laughed	faces	term	kinda	community	kiss	according	bill	boring	planned	holidays	dying	familiar	journey	stupid	further	tells	laid	shape	perhaps	angel	ha	blogs	midnight	shoot	mess	breaking	health	jack	heads	honestly	wanting	teeth	force	grade	lake	practice	reminds	apple	eve	battle	higher	cd	field	design	member	doors	checked	cheese	wanna	saved	tickets	handle	slept	reminded	camp	nobody	musical	cousin	magazine	colors	doubt	airport	studio	feelings	square	brand	ear	harder	giant	younger	shouldn	bringing	golden	crowd	teacher	pulling	expensive	finger	sometime	direction	breath	smoke	birds	students	hardly	interview	subject	common	mirror	animals	typical	bags	remembered	progress	wood	product	allowed	ears	sisters	hide	setting	press	session	checking	hadn	expected	build	issues	thankful	degrees	positive	modern	served	plenty	states	hungry	aside	tough	skills	suddenly	arm	notes	grandma	fix	sang	mid	joke	hung	cash	kinds	successful	babies	picking	daddy	national	passing	ma	guest	painting	gas	goal	pray	release	east	rolling	social	continued	shut	terrible	mary	george	parking	blow	various	rich	decision	popular	loss	talent	hilarious	describe	respect	classic	delicious	falls	pizza	certainly	coast	tom	via	student	ending	cell	otherwise	success	bye	streets	university	begins	eggs	easter	yard	youth	heading	relationship	results	forth	nose	fashion	drinking	swear	ain	distance	obvious	lonely	projects	puts	block	effect	honey	everybody	review	former	likely	numbers	female	pics	talented	fully	towards	value	shots	gifts	officially	highly	freedom	neck	agree	barely	related	mike	signed	annual	master	excitement	runs	crew	ocean	fourth	chose	sex	spread	flash	burn	pure
Warren Family	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	2	1	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	2	2	0	0	0	0	3	1	0	0	0	1	3	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	1	2	1	2	0	0	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0	1	12	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1	0	2	0	0	0	2	0	6	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	3	0	4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0
hunts and lulu	2	4	2	0	1	14	0	0	2	10	3	2	14	7	15	1	3	8	3	9	3	11	8	7	6	11	1	1	2	17	4	5	11	0	3	4	13	10	2	5	8	3	2	1	2	0	13	5	6	6	1	4	4	18	9	3	11	4	18	11	2	16	5	1	5	9	0	11	0	1	3	4	6	5	2	3	3	4	3	13	0	0	20	2	3	11	3	2	1	4	3	3	2	8	2	1	1	14	0	14	0	3	3	6	7	1	7	1	4	3	3	1	7	2	2	1	3	0	2	5	0	1	2	6	2	0	0	1	0	3	2	1	2	3	5	4	3	4	1	10	9	2	7	1	2	1	3	3	4	7	5	3	1	7	1	1	3	4	2	1	10	2	2	3	3	14	4	0	1	3	1	3	0	7	9	2	6	4	2	4	3	8	1	1	5	1	0	1	4	7	1	1	1	2	2	10	2	2	0	2	3	1	4	3	3	7	2	4	5	0	6	9	6	3	0	5	8	0	5	2	8	3	2	1	11	0	3	2	3	0	5	6	4	0	0	4	16	2	4	4	4	4	0	5	3	1	8	2	8	9	4	8	3	0	0	2	2	3	2	0	2	0	4	3	7	11	3	1	5	9	1	7	3	3	2	0	4	2	1	1	1	4	2	8	0	0	0	1	5	1	0	0	0	2	2	0	5	2	2	2	4	3	7	9	4	0	0	9	3	2	2	0	3	0	2	2	2	11	5	5	2	2	9	1	4	1	6	1	1	6	4	3	5	0	7	0	3	1	2	7	2	1	2	1	2	2	0	3	0	4	1	0	0	1	12	5	2	1	3	1	2	2	3	3	5	1	1	0	4	1	0	3	0	25	1	2	1	1	5	8	2	0	4	1	0	1	3	7	0	5	12	4	2	0	6	6	11	5	33	1	0	1	10	16	2	4	7	0	4	0	2	3	3	0	2	0	0	0	2	1	5	0	1	0	4	0	2	1	0	1	7	11	2	0	2	4	1	1	2	3	0	0	3	1	4	9	4	0	2	6	2	2	8	0	4	0	0	1	3	0	15	1	0	0	3	3	0	1	0	0	1	6	4	2	0	1	12	17	9	10	2	4	0	0	1	2	2	2	1	10	5	1	7	2	7	0	1	0	1	2
VISIONS	3	7	13	25	2	18	8	1	5	21	2	1	4	2	13	6	8	0	2	2	7	21	3	2	26	12	10	3	2	5	0	3	3	1	5	2	8	5	12	2	15	13	4	8	7	17	5	4	74	16	5	8	2	11	26	4	11	2	2	30	4	14	13	3	1	7	1	4	17	1	15	10	4	1	1	7	1	8	4	16	1	6	1	13	2	8	0	6	3	7	2	7	0	5	56	0	35	6	7	1	1	0	3	1	2	1	3	1	1	4	7	17	12	6	0	8	10	2	9	0	7	5	5	7	7	2	3	4	1	7	6	4	3	1	5	3	3	8	4	2	6	7	3	4	4	2	6	3	3	4	0	2	25	10	4	4	7	7	11	23	10	5	11	26	14	5	22	4	1	0	0	0	15	4	2	0	10	9	3	3	1	3	1	3	0	9	8	2	1	0	5	3	17	1	1	3	3	5	6	14	4	13	6	1	3	2	1	0	4	4	17	5	3	15	0	1	0	4	4	8	6	2	1	9	4	4	4	5	7	1	4	1	0	8	7	4	3	21	3	0	1	1	5	6	2	2	5	0	3	1	0	6	2	5	0	7	5	28	0	8	1	6	2	0	0	8	4	1	34	1	2	8	2	4	2	1	14	0	2	3	2	3	7	4	0	0	1	3	28	1	1	0	2	4	4	2	3	3	4	9	4	3	5	0	3	0	3	6	35	5	4	0	11	2	5	4	1	2	10	3	2	5	1	21	4	0	13	52	1	0	4	1	4	9	0	0	8	4	4	0	1	1	1	0	6	5	4	2	2	3	17	2	2	0	7	0	3	4	7	7	0	3	2	1	2	3	20	3	9	4	8	2	1	11	12	12	5	5	6	12	2	8	1	3	1	10	2	1	0	2	5	1	9	0	0	4	1	8	5	5	2	0	13	21	3	2	0	10	15	2	3	2	5	7	16	4	2	7	5	3	6	2	3	3	0	3	4	4	2	2	6	1	8	6	30	1	5	3	8	2	2	5	3	4	5	0	11	3	6	2	0	0	3	3	5	3	3	1	1	2	13	1	11	3	3	0	9	1	11	3	3	0	4	0	6	2	8	1	0	11	2	2	1	3	4	13	3	10	4	3	10	9	11	2	1	1	2	2	1	0
The Wakley's	0	3	3	2	0	5	1	0	5	1	0	1	0	0	3	0	1	3	0	0	1	3	6	0	0	0	1	1	2	3	1	0	0	1	2	2	2	2	0	3	0	0	2	5	0	0	0	1	0	0	1	1	0	13	0	2	2	7	18	0	2	2	1	0	3	0	1	1	2	0	2	1	1	3	3	2	5	0	1	11	1	1	3	2	0	0	1	0	0	1	0	0	2	0	1	3	0	3	0	1	0	2	2	2	3	0	3	1	2	4	2	2	3	9	1	1	0	2	1	2	0	4	2	9	0	0	2	0	0	3	0	1	2	0	1	7	0	0	2	2	0	0	0	1	5	2	1	9	0	0	18	1	2	0	0	0	1	0	0	0	6	0	1	2	0	0	1	0	5	2	1	5	0	2	1	2	1	0	0	0	0	1	0	0	2	0	0	1	0	2	4	0	0	1	0	3	19	0	2	0	0	0	3	2	1	4	1	1	4	0	0	0	0	0	2	3	1	2	4	1	0	2	0	0	0	1	0	0	4	0	1	2	2	1	2	2	0	19	2	2	0	1	0	2	0	0	1	0	0	0	1	0	3	2	5	0	0	0	1	1	0	1	1	1	1	1	2	0	2	2	0	0	1	2	2	0	1	1	3	0	0	0	2	0	1	5	0	1	1	2	0	1	1	0	2	1	2	0	1	11	0	0	0	3	1	2	0	1	1	0	1	2	1	0	0	0	0	4	0	0	6	0	5	0	6	0	3	1	4	3	0	0	5	0	1	0	1	0	0	0	1	2	1	0	1	1	0	0	3	2	1	0	0	2	1	0	1	0	0	4	3	0	0	9	1	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	13	2	0	0	1	3	1	0	0	9	0	1	0	0	1	3	2	0	1	1	0	0	1	0	0	0	0	0	2	1	2	0	2	1	1	0	0	1	0	1	0	2	0	0	0	0	0	2	1	1	0	1	1	1	0	0	0	0	8	2	0	1	1	1	0	2	0	0	2	0	1	0	1	6	3	0	0	2	4	0	0	4	0	0	4	0	0	0	0	2	2	4	0	1	0	2	0	0	0	2	0	4	0	2	0	0	1	1	1	2	0	0	1
in His Name and to His glory	4	1	14	1	7	15	5	11	2	0	6	19	10	16	10	5	17	3	5	2	4	3	7	4	7	4	4	12	1	1	10	3	13	6	2	4	5	4	1	8	13	5	13	5	7	6	3	8	10	12	4	20	3	3	1	0	5	17	58	1	7	9	2	6	17	7	3	14	2	14	3	10	1	3	8	1	4	5	11	9	1	2	9	17	14	20	3	12	2	6	10	12	4	21	7	4	9	21	7	11	0	6	9	17	8	8	7	4	8	6	3	16	2	3	2	4	14	2	9	9	12	4	10	6	1	5	5	9	3	0	10	7	10	11	8	0	10	3	30	5	5	3	9	10	4	5	12	9	5	2	3	7	1	3	3	3	5	2	13	22	2	7	2	6	4	10	1	6	1	3	10	6	8	6	5	3	1	6	4	16	1	5	6	0	8	5	7	8	4	22	6	0	4	4	7	5	0	2	5	9	1	7	6	2	2	1	13	7	2	3	8	23	9	7	11	10	6	7	3	6	11	5	3	0	135	10	5	3	10	5	7	4	4	1	3	1	34	9	9	6	4	1	4	4	5	12	2	19	4	7	28	5	9	14	3	0	19	0	4	5	6	2	1	4	8	4	3	11	51	1	3	79	7	3	3	9	7	16	4	8	5	3	2	0	3	2	10	1	3	6	5	0	6	3	22	11	2	0	3	1	7	2	3	2	6	3	32	10	9	4	4	3	2	11	8	5	3	3	8	6	2	11	0	3	3	11	7	3	1	20	7	3	5	3	3	8	7	3	8	1	2	3	5	2	4	6	2	2	23	2	0	7	4	3	1	4	3	1	3	4	6	3	3	5	6	2	3	4	4	4	6	4	8	2	3	8	4	2	4	5	6	2	1	5	2	5	5	0	3	13	6	9	1	6	3	5	3	2	6	7	3	2	2	1	2	5	35	4	4	2	8	5	0	1	4	2	7	4	7	21	6	6	4	8	8	2	9	1	1	4	1	41	10	6	0	6	2	4	5	5	2	2	5	5	0	10	8	24	2	15	1	12	1	1	1	2	4	2	14	2	1	4	2	8	1	7	4	4	3	6	2	6	10	11	11	6	0	7	7	5	2	2	11	5	4	8	2	3	3	11	2	0	8	4	3	5	4	1	1	1
MorganMonsters	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	1	0	1	0	1	0	2	0	0	45	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	3	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	1	4	1	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	1	0	0	0	0	1	9	3	0	0	1	1	0	1	2	1	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	1	0	2	0	0	0	0	0	0	0	7	0	4	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	1	0	0	0	3	1	0	0	0	1	4	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	1	0	0	1	0	10	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	3	0	0	6	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	4	0	1	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	1	1	3	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	3	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	18	0	0	0	1	1	2	1	0	1	0	0	0	0	0	0	0	0	2	0	2	1	0	1	0	0	0	0	0
Cathy's Daily Memories	0	0	3	0	1	2	1	0	3	5	0	0	1	6	0	4	1	7	9	3	1	0	0	1	0	5	0	2	3	2	0	1	0	1	0	2	9	11	3	9	0	0	0	4	0	3	0	0	1	0	1	6	0	4	1	3	0	3	0	0	2	1	1	3	7	3	0	0	0	1	2	0	7	4	2	2	4	0	0	3	4	0	15	0	0	1	3	5	1	1	0	0	3	0	5	3	0	0	0	3	0	0	0	0	1	0	1	4	0	6	0	0	1	0	0	4	1	1	0	2	0	42	3	1	0	0	1	0	1	1	1	3	0	0	2	1	0	0	0	5	5	5	0	0	16	0	0	1	0	0	0	2	0	1	2	2	0	0	0	0	2	1	2	1	0	1	0	0	0	2	4	0	0	1	0	0	0	1	0	1	0	2	1	1	2	0	0	0	1	0	0	0	1	1	0	0	4	0	1	0	1	0	2	0	0	3	1	1	0	0	0	1	1	3	0	2	1	0	0	0	1	1	0	2	3	1	2	3	1	1	4	0	2	0	1	0	1	4	0	1	0	0	0	0	0	0	0	0	0	1	4	0	2	0	0	1	0	6	0	0	0	1	2	0	5	1	0	8	0	5	0	0	0	3	1	1	0	2	2	1	37	0	0	0	2	1	6	0	0	3	0	2	0	0	1	5	1	0	0	0	1	0	0	1	0	2	1	0	1	1	2	5	1	1	0	1	2	1	2	0	0	0	1	0	5	0	4	0	2	0	0	4	3	0	6	2	1	0	0	0	1	3	0	3	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	3	0	5	4	16	0	0	0	0	0	2	1	2	3	3	0	3	0	2	2	0	2	0	0	0	1	3	1	3	4	1	1	0	2	0	4	0	0	2	0	0	0	2	0	0	2	0	6	0	0	0	0	6	1	6	0	0	1	1	0	0	3	0	1	0	0	0	0	0	3	0	1	0	0	0	2	0	0	3	2	0	8	0	0	0	4	11	7	0	0	4	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3	3	51	1	0	2	0	1	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
Mike and Dre	1	3	0	0	0	0	3	0	0	3	0	0	0	0	0	2	0	1	1	0	1	1	1	1	0	1	0	0	0	1	0	2	0	2	0	1	0	0	0	0	0	0	0	3	0	1	0	0	2	0	0	0	3	5	1	0	0	2	0	0	0	0	0	0	1	0	0	1	4	0	2	0	3	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	4	0	0	1	0	1	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	5	0	0	0	0	0	0	2	0	0	2	0	0	0	1	0	0	0	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	2	0	2	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	2	1	1	0	3	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	14	0	0	0	0	1	10	0	0	0	0	24	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	14	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A HOPE DIARY	0	0	2	0	0	0	0	0	1	0	1	2	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	4	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	2	0	1	0	3	0	0	0	0	0	1	2	0	0	0	0	2	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	2	0	1	0	1	3	0	0	0	2	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	0	0	0	1	1	0	0	0	4	0	2	0	0	2	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	9	0	0	0	0	0	1	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	2	2	0	10	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	0	0	0	3	0	0	0	4	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	3	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	3	7	0	0	0	3	0	0	7	0	0	3	0	3	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	1	0	2	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	4	1	3	0	0	2	0	0	0	0	1	0	0	0	0
Miriam Lovell Photography	20	4	13	7	2	2	1	9	3	4	3	4	4	8	7	0	4	0	2	6	2	2	1	0	3	1	1	7	1	10	3	1	6	2	6	3	5	3	1	1	4	5	1	5	5	11	3	2	2	12	8	4	1	3	2	1	7	0	4	18	2	12	2	0	5	3	2	3	1	3	0	8	13	7	0	33	2	2	8	2	1	1	2	0	5	1	1	5	0	0	1	8	3	0	1	3	12	0	8	2	2	0	10	3	3	0	2	2	1	1	0	5	1	0	0	1	8	0	2	0	0	5	0	3	1	0	3	2	3	1	2	2	0	2	5	0	4	1	0	0	0	2	2	1	1	2	4	2	2	1	4	4	0	0	7	3	1	0	1	1	3	1	1	2	2	1	3	0	2	0	1	1	7	2	1	0	1	3	2	3	0	2	3	2	6	2	7	1	0	1	6	0	6	24	0	3	2	3	1	0	0	33	2	2	4	0	5	0	4	0	1	3	1	3	3	0	1	3	1	7	0	4	1	4	0	4	1	1	0	1	6	1	2	5	3	1	0	3	1	2	0	1	1	0	0	0	4	1	5	4	0	3	1	1	0	6	1	0	2	1	1	0	2	4	6	1	1	0	0	1	1	0	5	1	3	1	1	5	2	3	2	1	2	4	2	0	6	1	23	3	0	5	1	1	1	4	1	2	0	6	2	7	8	0	0	1	1	3	10	4	11	0	2	0	2	0	1	1	1	2	0	2	2	0	7	0	1	3	0	0	0	1	1	0	2	0	3	5	0	0	2	2	0	2	5	2	0	0	1	2	0	33	0	2	1	3	2	4	2	3	0	1	0	2	0	3	1	23	1	3	1	2	2	1	0	2	1	0	2	0	1	2	1	1	3	2	0	13	5	1	0	0	1	0	2	2	8	0	10	0	0	0	2	6	0	3	1	0	1	2	0	3	1	2	5	0	0	2	2	2	3	1	3	1	0	6	1	0	4	0	2	1	6	0	0	0	2	0	3	3	1	3	0	1	2	2	4	1	0	5	35	1	0	0	1	1	0	1	4	2	2	2	1	0	0	1	1	2	10	6	0	5	1	0	1	2	11	1	1	0	1	1	0	5	2	0	0	2	1	3	2	0	0	3	4	0	1	8	2	2
F-Measure	2	0	2	1	3	2	10	14	2	6	8	24	8	3	0	1	1	0	0	1	1	4	11	27	0	4	5	13	6	2	8	10	1	10	3	1	0	2	15	2	2	9	7	2	6	8	1	1	22	3	9	12	3	0	2	4	1	2	0	12	3	5	4	10	1	2	12	9	12	32	3	6	2	0	3	2	0	5	0	4	0	8	0	5	3	5	1	7	7	0	2	1	2	13	15	4	48	14	25	8	9	2	4	1	18	7	2	2	0	0	2	20	0	7	3	20	20	1	14	7	126	6	0	1	1	7	10	4	0	6	12	5	5	23	16	1	0	0	9	1	3	0	0	7	1	1	2	1	0	18	6	13	1	6	0	19	3	2	27	5	0	3	1	2	8	0	6	3	1	3	1	0	11	0	0	2	0	11	1	3	7	4	5	4	1	8	9	15	4	2	3	3	45	16	4	3	0	9	5	7	4	10	0	4	5	1	10	1	1	25	4	2	4	0	0	0	2	1	0	9	7	1	4	3	3	3	4	2	2	6	5	2	8	1	1	0	3	2	12	0	2	0	2	16	4	12	2	25	1	1	44	2	6	36	2	7	6	2	2	1	5	2	3	5	0	0	9	3	2	5	2	10	5	2	0	5	27	8	4	12	8	5	0	46	5	0	1	13	3	3	3	0	3	5	10	0	0	9	0	4	3	6	5	1	3	12	38	1	2	10	0	1	0	12	0	2	0	2	5	1	11	15	2	2	0	11	0	103	3	1	2	1	11	3	0	2	0	5	2	3	1	0	0	5	6	5	1	2	1	3	6	3	9	7	0	12	0	2	0	1	5	1	2	1	2	3	9	12	4	3	1	3	2	1	0	2	11	1	3	5	2	7	2	2	0	0	4	1	1	5	40	5	0	27	9	14	0	2	2	1	11	2	10	0	5	1	0	65	1	6	5	5	2	7	7	6	2	0	33	3	3	27	5	0	1	17	9	28	0	8	0	13	0	9	10	0	3	3	12	26	0	5	0	6	0	1	1	20	0	5	3	1	1	1	1	3	11	2	13	9	3	1	2	10	2	3	196	17	4	2	7	0	2	3	2	2	1	0	4	6	4	0	5	5	8	5	2	1	1	1	0	4	1	16	2	17	0	1	4	3
The Gridley Times	0	3	1	2	0	0	0	0	3	4	0	1	1	3	1	0	2	7	0	0	2	0	5	0	3	5	0	0	0	0	0	5	0	5	3	2	0	9	1	1	2	0	0	4	0	1	1	0	2	2	0	0	2	0	1	3	1	2	7	0	1	0	0	1	0	0	0	2	1	0	0	0	4	2	4	0	1	0	4	0	8	0	2	1	0	1	2	3	0	2	1	0	0	3	1	0	0	0	0	0	0	2	1	0	2	0	1	2	0	2	0	1	3	1	0	0	0	3	1	1	0	0	1	0	0	0	2	2	0	1	1	0	2	2	2	0	0	0	0	3	1	1	0	2	0	1	2	1	0	2	1	0	1	2	1	1	0	0	0	0	4	0	0	1	0	0	0	2	2	1	1	1	0	0	2	1	1	0	1	0	0	2	0	2	1	0	1	1	0	2	0	0	0	1	0	0	11	1	0	0	0	0	1	1	0	0	1	3	2	0	1	2	4	4	1	0	1	0	0	0	0	4	0	0	2	0	2	2	0	3	5	0	1	1	1	0	3	3	1	1	0	3	0	3	0	0	0	3	1	2	5	0	0	0	2	2	0	0	0	0	0	0	0	1	0	2	1	4	0	0	0	0	1	0	1	4	1	0	0	3	2	0	0	1	2	0	2	1	2	0	1	0	1	0	5	5	0	0	2	1	1	0	0	0	0	1	0	0	0	1	1	1	1	4	1	3	0	0	1	1	0	0	1	0	4	0	1	0	0	4	0	4	0	0	3	2	0	3	0	1	2	1	0	1	0	0	0	0	0	1	0	0	1	2	2	1	2	0	1	3	1	0	8	2	0	0	0	1	0	1	0	0	1	2	2	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	1	1	0	1	0	11	0	2	0	1	1	0	1	0	1	2	0	1	0	0	0	1	0	3	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	5	0	5	1	0	0	1	0	2	0	0	2	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	5	1	2	1	0	1	0	11	0	2	9	0	3	0	0	1	6	1	0	1	0	0	0	1	0	0	2	0	1
